experiment_id,graph_type,num_nodes,num_edges,density,m_parameter,p_parameter,grid_rows,grid_cols,num_agents,latency_type,seed,equilibrium_cost,optimal_cost,poa,nash_iterations,social_iterations,runtime,convergence_gap
grid_10x10_linear_100,grid,100,360,0.036364,,,10,10,100,linear,152,37651.782855,37657.200589,0.999856,300,300,0.3547,0.0063596262
grid_10x10_linear_500,grid,100,360,0.036364,,,10,10,500,linear,552,800853.995909,800907.852279,0.999933,300,300,0.3558,0.0062345878
grid_10x10_linear_1000,grid,100,360,0.036364,,,10,10,1000,linear,1052,3567522.492316,3567145.160782,1.000106,300,300,0.3519,0.0063747375
grid_10x10_linear_5000,grid,100,360,0.036364,,,10,10,5000,linear,5052,91070895.816327,91071515.490077,0.999993,300,300,0.3521,0.0063165146
grid_10x10_linear_10000,grid,100,360,0.036364,,,10,10,10000,linear,10052,339115611.272813,339099128.676841,1.000049,300,300,0.3578,0.0062089579
grid_10x10_bpr_100,grid,100,360,0.036364,,,10,10,100,bpr,152,6030.223182,5742.278406,1.050145,300,300,0.3809,0.0063563669
grid_10x10_bpr_500,grid,100,360,0.036364,,,10,10,500,bpr,552,26935.759105,25975.098765,1.036984,300,300,0.3856,0.0061575499
grid_10x10_bpr_1000,grid,100,360,0.036364,,,10,10,1000,bpr,1052,64197.761489,59515.422933,1.078674,300,300,0.3659,0.0055357652
grid_10x10_bpr_5000,grid,100,360,0.036364,,,10,10,5000,bpr,5052,281510.057978,264096.636265,1.065936,300,300,0.3792,0.0060665859
grid_10x10_bpr_10000,grid,100,360,0.036364,,,10,10,10000,bpr,10052,1015712.504916,993414.315876,1.022446,300,300,0.3839,0.0062879217
grid_30x30_linear_100,grid,900,3480,0.004301,,,30,30,100,linear,172,58175.140431,58258.538192,0.998568,300,300,3.5269,0.0066445183
grid_30x30_linear_500,grid,900,3480,0.004301,,,30,30,500,linear,572,1381826.165797,1383395.056124,0.998866,300,300,3.5388,0.0066255551
grid_30x30_linear_1000,grid,900,3480,0.004301,,,30,30,1000,linear,1072,5291721.403107,5295755.683814,0.999238,300,300,3.5274,0.006595777
grid_30x30_linear_5000,grid,900,3480,0.004301,,,30,30,5000,linear,5072,127308880.030056,127341513.224821,0.999744,300,300,3.6576,0.0065685174
grid_30x30_linear_10000,grid,900,3480,0.004301,,,30,30,10000,linear,10072,534983521.535637,534767864.405155,1.000403,300,300,3.7925,0.0065892584
grid_30x30_bpr_100,grid,900,3480,0.004301,,,30,30,100,bpr,172,15744.335602,15256.173998,1.031998,300,300,3.8849,0.0063824413
grid_30x30_bpr_500,grid,900,3480,0.004301,,,30,30,500,bpr,572,81142.419834,78696.159351,1.031085,300,300,3.8628,0.0062415508
grid_30x30_bpr_1000,grid,900,3480,0.004301,,,30,30,1000,bpr,1072,147667.100629,139799.354344,1.056279,300,300,3.7421,0.0062288099
grid_30x30_bpr_5000,grid,900,3480,0.004301,,,30,30,5000,bpr,5072,812404.119901,780797.981833,1.040479,300,300,3.824,0.0063092553
grid_30x30_bpr_10000,grid,900,3480,0.004301,,,30,30,10000,bpr,10072,1611862.887084,1540088.905816,1.046604,300,300,3.7934,0.0064083675
grid_50x50_linear_100,grid,2500,9800,0.001569,,,50,50,100,linear,192,71067.349103,71223.358834,0.99781,300,300,10.9149,0.0066111846
grid_50x50_linear_500,grid,2500,9800,0.001569,,,50,50,500,linear,592,1446316.792038,1450888.87933,0.996849,300,300,10.0604,0.0066384441
grid_50x50_linear_1000,grid,2500,9800,0.001569,,,50,50,1000,linear,1092,6296434.846088,6310315.044911,0.9978,300,300,10.2034,0.0066181476
grid_50x50_linear_5000,grid,2500,9800,0.001569,,,50,50,5000,linear,5092,153678869.8336,153647100.37984,1.000207,300,300,10.8098,0.0066445183
grid_50x50_linear_10000,grid,2500,9800,0.001569,,,50,50,10000,linear,10092,590330605.802982,590069268.027376,1.000443,300,300,15.1937,0.0066014067
grid_50x50_bpr_100,grid,2500,9800,0.001569,,,50,50,100,bpr,192,23010.642311,22277.082296,1.032929,300,300,17.0421,0.0064342937
grid_50x50_bpr_500,grid,2500,9800,0.001569,,,50,50,500,bpr,592,115845.648538,112657.002122,1.028304,300,300,11.4697,0.0064609607
grid_50x50_bpr_1000,grid,2500,9800,0.001569,,,50,50,1000,bpr,1092,252130.460891,245001.072224,1.029099,300,300,11.2433,0.0062502917
grid_50x50_bpr_5000,grid,2500,9800,0.001569,,,50,50,5000,bpr,5092,1187161.192433,1144686.356419,1.037106,300,300,11.3414,0.0063215517
grid_50x50_bpr_10000,grid,2500,9800,0.001569,,,50,50,10000,bpr,10092,2314466.579645,2245562.827233,1.030684,300,300,11.1871,0.0062957737
grid_100x100_linear_100,grid,10000,39600,0.000396,,,100,100,100,linear,242,95356.656741,95698.507639,0.996428,300,300,50.5458,0.0066445183
grid_100x100_linear_500,grid,10000,39600,0.000396,,,100,100,500,linear,642,1972653.392808,1989441.987624,0.991561,300,300,48.9917,0.0066369626
grid_100x100_linear_1000,grid,10000,39600,0.000396,,,100,100,1000,linear,1142,6848080.706859,6907974.75865,0.99133,300,300,48.7899,0.0066445183
grid_100x100_linear_5000,grid,10000,39600,0.000396,,,100,100,5000,linear,5142,188311261.022569,189073942.231031,0.995966,300,300,49.0512,0.0066445183
grid_100x100_linear_10000,grid,10000,39600,0.000396,,,100,100,10000,linear,10142,784991928.313958,785506002.433048,0.999346,300,300,49.4817,0.0066445183
grid_100x100_bpr_100,grid,10000,39600,0.000396,,,100,100,100,bpr,242,43652.998912,42601.21945,1.024689,300,300,57.5687,0.0062757734
grid_100x100_bpr_500,grid,10000,39600,0.000396,,,100,100,500,bpr,642,223009.71992,217954.627003,1.023193,300,300,56.9535,0.0063911821
grid_100x100_bpr_1000,grid,10000,39600,0.000396,,,100,100,1000,bpr,1142,444243.981383,432384.365968,1.027428,300,300,53.6809,0.0065436283
grid_100x100_bpr_5000,grid,10000,39600,0.000396,,,100,100,5000,bpr,5142,2201847.674775,2143235.766379,1.027347,300,300,53.2039,0.0064542939
grid_100x100_bpr_10000,grid,10000,39600,0.000396,,,100,100,10000,bpr,10142,4561479.740639,4424804.854042,1.030888,300,300,53.5628,0.0065371097
er_20_sparse_linear_100,erdos_renyi,20,59,0.155263,,0.15,,,100,linear,177,33575.598627,33575.828773,0.999993,300,300,0.0541,0.0057516195
er_20_sparse_linear_500,erdos_renyi,20,59,0.155263,,0.15,,,500,linear,577,692084.271585,692110.490665,0.999962,300,300,0.0559,0.0047043486
er_20_sparse_linear_1000,erdos_renyi,20,59,0.155263,,0.15,,,1000,linear,1077,3101823.813696,3101835.33805,0.999996,300,300,0.0528,0.0058473242
er_20_sparse_linear_5000,erdos_renyi,20,59,0.155263,,0.15,,,5000,linear,5077,89210855.768086,89210917.872518,0.999999,300,300,0.0468,0.0052498361
er_20_sparse_linear_10000,erdos_renyi,20,59,0.155263,,0.15,,,10000,linear,10077,244608982.530499,244608960.074253,1.0,300,300,0.0541,0.0050527969
er_20_sparse_bpr_100,erdos_renyi,20,59,0.155263,,0.15,,,100,bpr,177,11657.236887,11530.464329,1.010995,300,300,0.0584,0.0041704167
er_20_sparse_bpr_500,erdos_renyi,20,59,0.155263,,0.15,,,500,bpr,577,23672.525582,23456.011252,1.009231,300,300,0.0589,0.0043238999
er_20_sparse_bpr_1000,erdos_renyi,20,59,0.155263,,0.15,,,1000,bpr,1077,468642.237759,467994.354534,1.001384,300,300,0.0552,0.0046788668
er_20_sparse_bpr_5000,erdos_renyi,20,59,0.155263,,0.15,,,5000,bpr,5077,3935597.276678,3935009.759618,1.000149,300,300,0.0558,0.0046561999
er_20_sparse_bpr_10000,erdos_renyi,20,59,0.155263,,0.15,,,10000,bpr,10077,745967.945018,743400.945935,1.003453,300,300,0.0693,0.0037535232
er_20_dense_linear_100,erdos_renyi,20,165,0.434211,,0.4,,,100,linear,202,3418.463766,3426.091015,0.997774,300,300,0.1403,0.0058056941
er_20_dense_linear_500,erdos_renyi,20,165,0.434211,,0.4,,,500,linear,602,78311.975867,78560.65355,0.996835,300,300,0.1386,0.0065286651
er_20_dense_linear_1000,erdos_renyi,20,165,0.434211,,0.4,,,1000,linear,1102,319220.140127,319329.33974,0.999658,300,300,0.1425,0.006550295
er_20_dense_linear_5000,erdos_renyi,20,165,0.434211,,0.4,,,5000,linear,5102,6399182.32536,6404046.619409,0.99924,300,300,0.1352,0.0066159254
er_20_dense_linear_10000,erdos_renyi,20,165,0.434211,,0.4,,,10000,linear,10102,28705818.889212,28722401.696271,0.999423,300,300,0.1363,0.0064821461
er_20_dense_bpr_100,erdos_renyi,20,165,0.434211,,0.4,,,100,bpr,202,713.081988,677.933835,1.051846,300,300,0.1434,0.0044344196
er_20_dense_bpr_500,erdos_renyi,20,165,0.434211,,0.4,,,500,bpr,602,3739.360024,3337.633642,1.120363,300,300,0.1494,0.0048311648
er_20_dense_bpr_1000,erdos_renyi,20,165,0.434211,,0.4,,,1000,bpr,1102,7399.617112,6757.268423,1.09506,300,300,0.1488,0.004906573
er_20_dense_bpr_5000,erdos_renyi,20,165,0.434211,,0.4,,,5000,bpr,5102,27740.588868,25385.499982,1.092773,300,300,0.1461,0.0046393108
er_20_dense_bpr_10000,erdos_renyi,20,165,0.434211,,0.4,,,10000,bpr,10102,53000.090878,44608.720064,1.188111,300,300,0.138,0.0019853554
er_50_sparse_linear_100,erdos_renyi,50,197,0.080408,,0.08,,,100,linear,200,15977.267192,15982.285802,0.999686,300,300,0.1642,0.0066123698
er_50_sparse_linear_500,erdos_renyi,50,197,0.080408,,0.08,,,500,linear,600,354219.141183,354284.157033,0.999816,300,300,0.1707,0.006560221
er_50_sparse_linear_1000,erdos_renyi,50,197,0.080408,,0.08,,,1000,linear,1100,1379009.756172,1379171.614123,0.999883,300,300,0.1645,0.0055625803
er_50_sparse_linear_5000,erdos_renyi,50,197,0.080408,,0.08,,,5000,linear,5100,31003469.333565,30996761.784639,1.000216,300,300,0.1708,0.006586888
er_50_sparse_linear_10000,erdos_renyi,50,197,0.080408,,0.08,,,10000,linear,10100,121423256.425657,121457468.254096,0.999718,300,300,0.1654,0.0063637744
er_50_sparse_bpr_100,erdos_renyi,50,197,0.080408,,0.08,,,100,bpr,200,4613.911397,4342.604673,1.062476,300,300,0.1724,0.005949992
er_50_sparse_bpr_500,erdos_renyi,50,197,0.080408,,0.08,,,500,bpr,600,10759.070422,10269.24163,1.047699,300,300,0.1769,0.0040557488
er_50_sparse_bpr_1000,erdos_renyi,50,197,0.080408,,0.08,,,1000,bpr,1100,23046.18973,22487.129317,1.024861,300,300,0.1745,0.0059781405
er_50_sparse_bpr_5000,erdos_renyi,50,197,0.080408,,0.08,,,5000,bpr,5100,85506.270178,79832.362597,1.071073,300,300,0.178,0.0053368
er_50_sparse_bpr_10000,erdos_renyi,50,197,0.080408,,0.08,,,10000,bpr,10100,267642.725947,264914.391032,1.010299,300,300,0.1705,0.005333837
er_50_dense_linear_100,erdos_renyi,50,721,0.294286,,0.3,,,100,linear,222,2671.561673,2679.849493,0.996907,300,300,0.5523,0.0065819991
er_50_dense_linear_500,erdos_renyi,50,721,0.294286,,0.3,,,500,linear,622,61480.493733,61809.647635,0.994675,300,300,0.5482,0.0066097031
er_50_dense_linear_1000,erdos_renyi,50,721,0.294286,,0.3,,,1000,linear,1122,257689.930182,259570.322567,0.992756,300,300,0.5293,0.0065279244
er_50_dense_linear_5000,erdos_renyi,50,721,0.294286,,0.3,,,5000,linear,5122,5957365.167326,5967092.702687,0.99837,300,300,0.5294,0.0066259995
er_50_dense_linear_10000,erdos_renyi,50,721,0.294286,,0.3,,,10000,linear,10122,25029519.902748,24989000.484845,1.001621,300,300,0.544,0.0066305922
er_50_dense_bpr_100,erdos_renyi,50,721,0.294286,,0.3,,,100,bpr,222,729.23016,692.239312,1.053437,300,300,0.6149,0.0059098434
er_50_dense_bpr_500,erdos_renyi,50,721,0.294286,,0.3,,,500,bpr,622,3155.656852,3010.06762,1.048367,300,300,0.5861,0.0052181321
er_50_dense_bpr_1000,erdos_renyi,50,721,0.294286,,0.3,,,1000,bpr,1122,6928.83197,6584.685392,1.052265,300,300,0.5783,0.0046581258
er_50_dense_bpr_5000,erdos_renyi,50,721,0.294286,,0.3,,,5000,bpr,5122,30438.936241,29581.498066,1.028986,300,300,0.5703,0.0055486542
er_50_dense_bpr_10000,erdos_renyi,50,721,0.294286,,0.3,,,10000,bpr,10122,73176.605944,69092.51702,1.05911,300,300,0.6079,0.0047378304
er_100_sparse_linear_100,erdos_renyi,100,520,0.052525,,0.05,,,100,linear,247,5034.330888,5042.612262,0.998358,300,300,0.4184,0.0065683693
er_100_sparse_linear_500,erdos_renyi,100,520,0.052525,,0.05,,,500,linear,647,103054.189348,103265.664376,0.997952,300,300,0.4192,0.0065055538
er_100_sparse_linear_1000,erdos_renyi,100,520,0.052525,,0.05,,,1000,linear,1147,392289.216938,392639.809801,0.999107,300,300,0.4254,0.0066178513
er_100_sparse_linear_5000,erdos_renyi,100,520,0.052525,,0.05,,,5000,linear,5147,9432499.325941,9434223.359652,0.999817,300,300,0.4228,0.0065157761
er_100_sparse_linear_10000,erdos_renyi,100,520,0.052525,,0.05,,,10000,linear,10147,47288174.024377,47318275.591647,0.999364,300,300,0.4229,0.0065418505
er_100_sparse_bpr_100,erdos_renyi,100,520,0.052525,,0.05,,,100,bpr,247,980.329855,925.703578,1.059011,300,300,0.4351,0.0049667219
er_100_sparse_bpr_500,erdos_renyi,100,520,0.052525,,0.05,,,500,bpr,647,4927.622135,4624.132563,1.065632,300,300,0.4428,0.0057262858
er_100_sparse_bpr_1000,erdos_renyi,100,520,0.052525,,0.05,,,1000,bpr,1147,11745.738108,11012.727697,1.06656,300,300,0.4545,0.0051896873
er_100_sparse_bpr_5000,erdos_renyi,100,520,0.052525,,0.05,,,5000,bpr,5147,53988.05904,49747.374541,1.085244,300,300,0.45,0.0052080579
er_100_sparse_bpr_10000,erdos_renyi,100,520,0.052525,,0.05,,,10000,bpr,10147,135755.268174,124992.145625,1.08611,300,300,0.4548,0.0052812439
er_100_dense_linear_100,erdos_renyi,100,1978,0.199798,,0.2,,,100,linear,262,1598.739043,1606.886435,0.99493,300,300,1.4054,0.0066080734
er_100_dense_linear_500,erdos_renyi,100,1978,0.199798,,0.2,,,500,linear,662,36391.661327,36709.860331,0.991332,300,300,1.3508,0.0066445183
er_100_dense_linear_1000,erdos_renyi,100,1978,0.199798,,0.2,,,1000,linear,1162,122461.808287,123970.35032,0.987831,300,300,1.3262,0.0066445183
er_100_dense_linear_5000,erdos_renyi,100,1978,0.199798,,0.2,,,5000,linear,5162,2966804.424582,3008800.930504,0.986042,300,300,1.3085,0.0066445183
er_100_dense_linear_10000,erdos_renyi,100,1978,0.199798,,0.2,,,10000,linear,10162,14238388.563526,14283649.188916,0.996831,300,300,1.3285,0.0066445183
er_100_dense_bpr_100,erdos_renyi,100,1978,0.199798,,0.2,,,100,bpr,262,539.191739,506.061967,1.065466,300,300,1.5107,0.0049404993
er_100_dense_bpr_500,erdos_renyi,100,1978,0.199798,,0.2,,,500,bpr,662,2962.821315,2768.565706,1.070165,300,300,1.535,0.0052692437
er_100_dense_bpr_1000,erdos_renyi,100,1978,0.199798,,0.2,,,1000,bpr,1162,5156.206703,4607.440193,1.119104,300,300,1.507,0.0043933821
er_100_dense_bpr_5000,erdos_renyi,100,1978,0.199798,,0.2,,,5000,bpr,5162,26442.55432,22756.066738,1.162,300,300,1.501,0.004144046
er_100_dense_bpr_10000,erdos_renyi,100,1978,0.199798,,0.2,,,10000,bpr,10162,61529.213497,58073.676079,1.059503,300,300,1.468,0.0039081916
sf_20_m2_sparse_linear_100,scale_free,20,72,0.189474,2,,,,100,linear,164,5346.480513,5348.090038,0.999699,300,300,0.068,0.0055920621
sf_20_m2_sparse_linear_500,scale_free,20,72,0.189474,2,,,,500,linear,564,135498.959878,135527.025459,0.999793,300,300,0.0651,0.0064599236
sf_20_m2_sparse_linear_1000,scale_free,20,72,0.189474,2,,,,1000,linear,1064,516632.895177,516681.452352,0.999906,300,300,0.067,0.0048964988
sf_20_m2_sparse_linear_5000,scale_free,20,72,0.189474,2,,,,5000,linear,5064,13396717.413348,13396633.804279,1.000006,300,300,0.0633,0.0060184372
sf_20_m2_sparse_linear_10000,scale_free,20,72,0.189474,2,,,,10000,linear,10064,66178889.462016,66178593.491057,1.000004,300,300,0.0646,0.0062667363
sf_20_m2_sparse_bpr_100,scale_free,20,72,0.189474,2,,,,100,bpr,164,814.437822,700.916787,1.161961,300,300,0.0675,0.0044510124
sf_20_m2_sparse_bpr_500,scale_free,20,72,0.189474,2,,,,500,bpr,564,4279.150555,3815.321653,1.12157,300,300,0.0754,0.005149835
sf_20_m2_sparse_bpr_1000,scale_free,20,72,0.189474,2,,,,1000,bpr,1064,9951.22628,9088.135977,1.094969,300,300,0.0699,0.0051179828
sf_20_m2_sparse_bpr_5000,scale_free,20,72,0.189474,2,,,,5000,bpr,5064,36766.303556,34097.502889,1.07827,300,300,0.0671,0.0057971014
sf_20_m2_sparse_bpr_10000,scale_free,20,72,0.189474,2,,,,10000,bpr,10064,92526.694464,87129.479462,1.061945,300,300,0.0663,0.0037548565
sf_20_m5_dense_linear_100,scale_free,20,150,0.394737,5,,,,100,linear,167,2615.366253,2619.622292,0.998375,300,300,0.1261,0.0057341378
sf_20_m5_dense_linear_500,scale_free,20,150,0.394737,5,,,,500,linear,567,65239.286181,65396.006515,0.997604,300,300,0.1297,0.0065331096
sf_20_m5_dense_linear_1000,scale_free,20,150,0.394737,5,,,,1000,linear,1067,239263.276757,239582.833727,0.998666,300,300,0.1292,0.0057488046
sf_20_m5_dense_linear_5000,scale_free,20,150,0.394737,5,,,,5000,linear,5067,6366357.175425,6369027.689891,0.999581,300,300,0.1371,0.006476072
sf_20_m5_dense_linear_10000,scale_free,20,150,0.394737,5,,,,10000,linear,10067,29550995.336395,29542806.445513,1.000277,300,300,0.1269,0.0064248121
sf_20_m5_dense_bpr_100,scale_free,20,150,0.394737,5,,,,100,bpr,167,583.94799,520.695087,1.121478,300,300,0.1344,0.0049799072
sf_20_m5_dense_bpr_500,scale_free,20,150,0.394737,5,,,,500,bpr,567,2567.248711,2459.28876,1.043899,300,300,0.1321,0.0038471539
sf_20_m5_dense_bpr_1000,scale_free,20,150,0.394737,5,,,,1000,bpr,1067,6225.196021,5526.912825,1.126342,300,300,0.1331,0.0047573862
sf_20_m5_dense_bpr_5000,scale_free,20,150,0.394737,5,,,,5000,bpr,5067,36170.466038,31119.140896,1.162322,300,300,0.1501,0.0027843272
sf_20_m5_dense_bpr_10000,scale_free,20,150,0.394737,5,,,,10000,bpr,10067,70960.732556,68664.786198,1.033437,300,300,0.1346,0.005095464
sf_50_m2_sparse_linear_100,scale_free,50,192,0.078367,2,,,,100,linear,194,6547.396113,6548.443511,0.99984,300,300,0.1628,0.0061033271
sf_50_m2_sparse_linear_500,scale_free,50,192,0.078367,2,,,,500,linear,594,140753.470058,140909.845239,0.99889,300,300,0.1601,0.0063125146
sf_50_m2_sparse_linear_1000,scale_free,50,192,0.078367,2,,,,1000,linear,1094,620089.499386,620365.869019,0.999555,300,300,0.1626,0.0057944348
sf_50_m2_sparse_linear_5000,scale_free,50,192,0.078367,2,,,,5000,linear,5094,16018478.010518,16029590.462143,0.999307,300,300,0.1563,0.0065365171
sf_50_m2_sparse_linear_10000,scale_free,50,192,0.078367,2,,,,10000,linear,10094,61745563.454747,61786860.077935,0.999332,300,300,0.163,0.0059492513
sf_50_m2_sparse_bpr_100,scale_free,50,192,0.078367,2,,,,100,bpr,194,1164.874603,1091.855238,1.066876,300,300,0.1671,0.0047683493
sf_50_m2_sparse_bpr_500,scale_free,50,192,0.078367,2,,,,500,bpr,594,4852.392539,4471.396884,1.085207,300,300,0.1683,0.0047599047
sf_50_m2_sparse_bpr_1000,scale_free,50,192,0.078367,2,,,,1000,bpr,1094,9622.495939,9323.204001,1.032102,300,300,0.1727,0.0049806479
sf_50_m2_sparse_bpr_5000,scale_free,50,192,0.078367,2,,,,5000,bpr,5094,57491.574936,47822.810063,1.202179,300,300,0.167,0.0052086505
sf_50_m2_sparse_bpr_10000,scale_free,50,192,0.078367,2,,,,10000,bpr,10094,111486.090572,92667.410042,1.203078,300,300,0.1683,0.0046633111
sf_50_m5_dense_linear_100,scale_free,50,450,0.183673,5,,,,100,linear,197,4050.760752,4059.233618,0.997913,300,300,0.352,0.0065796287
sf_50_m5_dense_linear_500,scale_free,50,450,0.183673,5,,,,500,linear,597,64689.932375,65039.708585,0.994622,300,300,0.3632,0.0066347404
sf_50_m5_dense_linear_1000,scale_free,50,450,0.183673,5,,,,1000,linear,1097,369855.03224,370232.264048,0.998981,300,300,0.3529,0.0064725164
sf_50_m5_dense_linear_5000,scale_free,50,450,0.183673,5,,,,5000,linear,5097,9774788.577562,9794934.22028,0.997943,300,300,0.3483,0.0064898499
sf_50_m5_dense_linear_10000,scale_free,50,450,0.183673,5,,,,10000,linear,10097,37273205.104666,37325653.077654,0.998595,300,300,0.3559,0.0066305922
sf_50_m5_dense_bpr_100,scale_free,50,450,0.183673,5,,,,100,bpr,197,898.016707,828.175764,1.084331,300,300,0.3742,0.0046698297
sf_50_m5_dense_bpr_500,scale_free,50,450,0.183673,5,,,,500,bpr,597,3437.773644,3231.137162,1.063952,300,300,0.3846,0.0062779957
sf_50_m5_dense_bpr_1000,scale_free,50,450,0.183673,5,,,,1000,bpr,1097,7782.385153,7075.156548,1.099959,300,300,0.3789,0.0046742742
sf_50_m5_dense_bpr_5000,scale_free,50,450,0.183673,5,,,,5000,bpr,5097,42028.612765,39527.262933,1.063282,300,300,0.372,0.0048199054
sf_50_m5_dense_bpr_10000,scale_free,50,450,0.183673,5,,,,10000,bpr,10097,82793.004682,76352.727359,1.084349,300,300,0.3831,0.0055754694
sf_100_m2_sparse_linear_100,scale_free,100,392,0.039596,2,,,,100,linear,244,9069.552568,9076.421388,0.999243,300,300,0.3164,0.006580962
sf_100_m2_sparse_linear_500,scale_free,100,392,0.039596,2,,,,500,linear,644,282476.459564,282665.403669,0.999332,300,300,0.3105,0.006537406
sf_100_m2_sparse_linear_1000,scale_free,100,392,0.039596,2,,,,1000,linear,1144,1102431.237644,1103336.963445,0.999179,300,300,0.3181,0.0061999207
sf_100_m2_sparse_linear_5000,scale_free,100,392,0.039596,2,,,,5000,linear,5144,33386740.810313,33393666.745542,0.999793,300,300,0.3239,0.0063664411
sf_100_m2_sparse_linear_10000,scale_free,100,392,0.039596,2,,,,10000,linear,10144,104464738.906129,104449485.071658,1.000146,300,300,0.3153,0.0066285181
sf_100_m2_sparse_bpr_100,scale_free,100,392,0.039596,2,,,,100,bpr,244,1391.81969,1334.901392,1.042639,300,300,0.3322,0.0050376856
sf_100_m2_sparse_bpr_500,scale_free,100,392,0.039596,2,,,,500,bpr,644,14966.817808,14612.892581,1.02422,300,300,0.3248,0.0042601955
sf_100_m2_sparse_bpr_1000,scale_free,100,392,0.039596,2,,,,1000,bpr,1144,20029.6872,18953.427112,1.056784,300,300,0.3282,0.0061791798
sf_100_m2_sparse_bpr_5000,scale_free,100,392,0.039596,2,,,,5000,bpr,5144,93590.163071,86792.100694,1.078326,300,300,0.3162,0.0042927884
sf_100_m2_sparse_bpr_10000,scale_free,100,392,0.039596,2,,,,10000,bpr,10144,147420.199509,144357.868146,1.021213,300,300,0.3337,0.0057772494
sf_100_m5_dense_linear_100,scale_free,100,950,0.09596,5,,,,100,linear,247,2972.50458,2982.856601,0.996529,300,300,0.7009,0.0066185921
sf_100_m5_dense_linear_500,scale_free,100,950,0.09596,5,,,,500,linear,647,68788.425376,69113.159327,0.995301,300,300,0.6779,0.0066243699
sf_100_m5_dense_linear_1000,scale_free,100,950,0.09596,5,,,,1000,linear,1147,234889.451953,237155.296139,0.990446,300,300,0.6767,0.0066445183
sf_100_m5_dense_linear_5000,scale_free,100,950,0.09596,5,,,,5000,linear,5147,6690331.496739,6714897.042262,0.996342,300,300,0.667,0.0066445183
sf_100_m5_dense_linear_10000,scale_free,100,950,0.09596,5,,,,10000,linear,10147,28651077.291334,28766460.598898,0.995989,300,300,0.6747,0.0066005178
sf_100_m5_dense_bpr_100,scale_free,100,950,0.09596,5,,,,100,bpr,247,671.658957,628.704879,1.068322,300,300,0.765,0.0057267303
sf_100_m5_dense_bpr_500,scale_free,100,950,0.09596,5,,,,500,bpr,647,3436.396108,3084.001638,1.114265,300,300,0.7298,0.0053839117
sf_100_m5_dense_bpr_1000,scale_free,100,950,0.09596,5,,,,1000,bpr,1147,6795.391044,6205.536211,1.095053,300,300,0.7497,0.0059941407
sf_100_m5_dense_bpr_5000,scale_free,100,950,0.09596,5,,,,5000,bpr,5147,35570.137324,31481.215928,1.129884,300,300,0.7555,0.0054738386
sf_100_m5_dense_bpr_10000,scale_free,100,950,0.09596,5,,,,10000,bpr,10147,80422.660866,72267.471079,1.112847,300,300,0.7419,0.003939303
